G1/S,G2
121.2479527,135.7468704
112.9678643,144.4893617
111.0115012,152.8638024
105.0882417,108.3549583
93.8516049,135.3580138
95.29149233,130.8957055
94.09234508,149.20674
94.0440452,153.8038541
100.9535874,186.7222116
97.03776683,179.271484
98.58599089,121.5169082
117.3719188,124.0278638
132.6153627,120.4178022
116.6296189,111.3526795
119.5756466,132.636779
117.4255219,115.2848009
110.9648241,125.4365677
111.9376326,128.6005467
103.3526634,130.7581409
118.5537778,128.3156983
117.4647414,128.145919
119.5031609,127.3194239
117.5462185,119.8071861
114.7098076,135.181758
118.7350575,159.9528483
118.6849233,138.7714976
107.4847839,136.5147104
106.5622717,145.9571477
106.7139815,134.5359678
108.7364242,132.8374806
108.8971727,126.8581922
104.2135545,137.2573465
120.2994944,136.1458395
111.9382119,127.0706511
117.9668998,112.0343907
123.4432039,135.2487634
120.0141923,124.766909
113.6342932,117.4676454
127.0755968,123.3307494
126.2379361,172.6223848
107.696634,127.7166463
90.89513598,140.5905774
90.88805645,138.9308072
115.5702188,157.0330824
120.7706896,111.5743052
128.9390911,148.757662
132.4662145,123.0731918
146.637696,129.3108841
123.8413831,125.8288638
124.8506838,125.0707291
126.7039986,149.1589076
104.0202707,116.6269648
116.3383657,123.5146551
108.9061474,174.4021264
102.36073,123.8717558
100.2709521,114.5918882
93.88823434,121.2299068
99.34112385,156.6442771
102.4105518,167.8963696
97.44646909,152.3711697
110.0894124,165.3089548
97.93304482,157.3641465
100.7147564,157.3899516
95.69608689,126.754014
94.82797288,159.1911174
147.3937561,159.8490751
128.3732287,116.0129486
136.057607,149.9319822
143.8700111,131.9492057
125.3095598,138.7432928
126.8826051,135.1933696
117.679269,140.4098573
122.7189865,129.7019316
135.7808746,134.603653
137.0732559,161.5846416
107.5988497,134.2852853
116.3265239,165.1824398
113.5346761,145.6928329
111.1484515,127.5369072
130.3095778,147.9504373
133.3808291,146.9083477
126.0027609,128.4095779
96.22847891,105.2141695
112.9824176,129.1243368
100.9079622,109.7164883
109.1677562,138.7763577
108.8625775,122.2597425
107.1482722,170.8815359
108.0823776,151.1180494
111.478344,160.564843
99.0554766,179.2653153
107.7056597,
119.4566235,
108.1378369,
110.2814066,
116.4444119,
121.5289986,
103.1181521,
131.1381503,
113.7655824,
123.3698263,
145.8830476,
130.5063947,
138.9395173,
